October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
FL-093,"Okeechobee County, FL",74.4,52,-0.3,74.7,Okeechobee County,FL,", "
FL-095,"Orange County, FL",73.9,60,0.1,73.8,Orange County,FL,", "
FL-097,"Osceola County, FL",74.6,63,0.3,74.3,Osceola County,FL,", "
FL-099,"Palm Beach County, FL",76.6,61,0.3,76.3,Palm Beach County,FL,", "
FL-101,"Pasco County, FL",73.5,73,0.6,72.9,Pasco County,FL,", "
FL-103,"Pinellas County, FL",74.7,53,0,74.7,Pinellas County,FL,", "
FL-105,"Polk County, FL",74.8,77,0.9,73.9,Polk County,FL,", "
FL-107,"Putnam County, FL",70.6,48,-0.7,71.3,Putnam County,FL,", "
FL-109,"St. Johns County, FL",71.1,57,-0.3,71.4,St. Johns County,FL,", "
FL-111,"St. Lucie County, FL",75.1,52,-0.3,75.4,St. Lucie County,FL,", "
FL-113,"Santa Rosa County, FL",66.4,27,-1.7,68.1,Santa Rosa County,FL,", "
FL-115,"Sarasota County, FL",74.3,47,-0.6,74.9,Sarasota County,FL,", "
FL-117,"Seminole County, FL",73.4,55,-0.2,73.6,Seminole County,FL,", "
FL-119,"Sumter County, FL",72.4,60,0.2,72.2,Sumter County,FL,", "
FL-121,"Suwannee County, FL",67.8,40,-1.1,68.9,Suwannee County,FL,", "
FL-123,"Taylor County, FL",68.1,39,-1.2,69.3,Taylor County,FL,", "
FL-125,"Union County, FL",68.3,39,-1.2,69.5,Union County,FL,", "
FL-127,"Volusia County, FL",72.3,50,-0.5,72.8,Volusia County,FL,", "
FL-129,"Wakulla County, FL",67,21,-2.1,69.1,Wakulla County,FL,", "
FL-131,"Walton County, FL",66,27,-1.7,67.7,Walton County,FL,", "
FL-133,"Washington County, FL",65.8,24,-2,67.8,Washington County,FL,", "
GA-001,"Appling County, GA",65,32,-1.8,66.8,Appling County,GA,", "
GA-003,"Atkinson County, GA",64.2,17,-2.7,66.9,Atkinson County,GA,", "
GA-005,"Bacon County, GA",65.1,32,-1.8,66.9,Bacon County,GA,", "
GA-007,"Baker County, GA",64.4,17,-2.7,67.1,Baker County,GA,", "
GA-009,"Baldwin County, GA",61.8,23,-2.1,63.9,Baldwin County,GA,", "
GA-011,"Banks County, GA",59.1,28,-1.8,60.9,Banks County,GA,", "
GA-013,"Barrow County, GA",59.6,34,-1.5,61.1,Barrow County,GA,", "
GA-015,"Bartow County, GA",58.4,19,-2.4,60.8,Bartow County,GA,", "
GA-017,"Ben Hill County, GA",63.1,17,-2.9,66,Ben Hill County,GA,", "
GA-019,"Berrien County, GA",63.5,14,-3.2,66.7,Berrien County,GA,", "
GA-021,"Bibb County, GA",62.1,27,-2,64.1,Bibb County,GA,", "
GA-023,"Bleckley County, GA",62.7,20,-2.5,65.2,Bleckley County,GA,", "
GA-025,"Brantley County, GA",65.9,35,-1.5,67.4,Brantley County,GA,", "
GA-027,"Brooks County, GA",64.9,18,-2.5,67.4,Brooks County,GA,", "
GA-029,"Bryan County, GA",65.6,33,-1.6,67.2,Bryan County,GA,", "
GA-031,"Bulloch County, GA",64.2,32,-1.7,65.9,Bulloch County,GA,", "
GA-033,"Burke County, GA",62.4,32,-1.7,64.1,Burke County,GA,", "
GA-035,"Butts County, GA",61.2,39,-1.4,62.6,Butts County,GA,", "
GA-037,"Calhoun County, GA",64,18,-2.6,66.6,Calhoun County,GA,", "
GA-039,"Camden County, GA",67.4,35,-1.3,68.7,Camden County,GA,", "
GA-043,"Candler County, GA",64.1,34,-1.6,65.7,Candler County,GA,", "
GA-045,"Carroll County, GA",58.6,31,-2,60.6,Carroll County,GA,", "
GA-047,"Catoosa County, GA",57.2,19,-2.8,60,Catoosa County,GA,", "
GA-049,"Charlton County, GA",67,40,-1.1,68.1,Charlton County,GA,", "
GA-051,"Chatham County, GA",66.1,33,-1.5,67.6,Chatham County,GA,", "
GA-053,"Chattahoochee County, GA",62,17,-3,65,Chattahoochee County,GA,", "
GA-055,"Chattooga County, GA",57.8,15,-2.9,60.7,Chattooga County,GA,", "
GA-057,"Cherokee County, GA",58.2,27,-2,60.2,Cherokee County,GA,", "
GA-059,"Clarke County, GA",60,35,-1.5,61.5,Clarke County,GA,", "
GA-061,"Clay County, GA",64,23,-2.3,66.3,Clay County,GA,", "
GA-063,"Clayton County, GA",60.9,42,-1.1,62,Clayton County,GA,", "
GA-065,"Clinch County, GA",65.9,34,-1.7,67.6,Clinch County,GA,", "
GA-067,"Cobb County, GA",59.1,33,-1.7,60.8,Cobb County,GA,", "
GA-069,"Coffee County, GA",63.9,21,-2.6,66.5,Coffee County,GA,", "
GA-071,"Colquitt County, GA",63.5,13,-3.3,66.8,Colquitt County,GA,", "
GA-073,"Columbia County, GA",61.9,38,-1.5,63.4,Columbia County,GA,", "
GA-075,"Cook County, GA",63.5,11,-3.4,66.9,Cook County,GA,", "
GA-077,"Coweta County, GA",60.1,33,-1.8,61.9,Coweta County,GA,", "
GA-079,"Crawford County, GA",61.8,22,-2.2,64,Crawford County,GA,", "
GA-081,"Crisp County, GA",62.5,16,-2.9,65.4,Crisp County,GA,", "
GA-083,"Dade County, GA",56.5,15,-3.3,59.8,Dade County,GA,", "
GA-085,"Dawson County, GA",57.2,29,-1.8,59,Dawson County,GA,", "
GA-087,"Decatur County, GA",65.5,21,-2.3,67.8,Decatur County,GA,", "
GA-089,"DeKalb County, GA",60.1,39,-1.2,61.3,DeKalb County,GA,", "
GA-091,"Dodge County, GA",63,17,-2.6,65.6,Dodge County,GA,", "
GA-093,"Dooly County, GA",62.5,18,-2.6,65.1,Dooly County,GA,", "
GA-095,"Dougherty County, GA",63.8,17,-3,66.8,Dougherty County,GA,", "
GA-097,"Douglas County, GA",59.2,31,-1.7,60.9,Douglas County,GA,", "
GA-099,"Early County, GA",64.6,21,-2.4,67,Early County,GA,", "
GA-101,"Echols County, GA",66.3,33,-1.5,67.8,Echols County,GA,", "
GA-103,"Effingham County, GA",64.5,30,-1.6,66.1,Effingham County,GA,", "
GA-105,"Elbert County, GA",60.1,38,-1.3,61.4,Elbert County,GA,", "
GA-107,"Emanuel County, GA",63.4,35,-1.7,65.1,Emanuel County,GA,", "
GA-109,"Evans County, GA",64.9,33,-1.7,66.6,Evans County,GA,", "
GA-111,"Fannin County, GA",54.4,24,-2.5,56.9,Fannin County,GA,", "
GA-113,"Fayette County, GA",60.8,37,-1.3,62.1,Fayette County,GA,", "
GA-115,"Floyd County, GA",58.2,15,-2.8,61,Floyd County,GA,", "
GA-117,"Forsyth County, GA",58.2,32,-1.8,60,Forsyth County,GA,", "
GA-119,"Franklin County, GA",59.2,26,-1.8,61,Franklin County,GA,", "
GA-121,"Fulton County, GA",59.7,35,-1.4,61.1,Fulton County,GA,", "
GA-123,"Gilmer County, GA",55.7,27,-2.3,58,Gilmer County,GA,", "
GA-125,"Glascock County, GA",61.5,30,-1.9,63.4,Glascock County,GA,", "
GA-127,"Glynn County, GA",67,32,-1.7,68.7,Glynn County,GA,", "
GA-129,"Gordon County, GA",58.2,17,-2.6,60.8,Gordon County,GA,", "
GA-131,"Grady County, GA",65.3,20,-2.3,67.6,Grady County,GA,", "
GA-133,"Greene County, GA",60.7,32,-1.7,62.4,Greene County,GA,", "
GA-135,"Gwinnett County, GA",59.3,41,-1.5,60.8,Gwinnett County,GA,", "
GA-137,"Habersham County, GA",56.8,16,-2.3,59.1,Habersham County,GA,", "
GA-139,"Hall County, GA",58.4,31,-1.8,60.2,Hall County,GA,", "
GA-141,"Hancock County, GA",61.3,28,-1.9,63.2,Hancock County,GA,", "
GA-143,"Haralson County, GA",57.7,28,-2.2,59.9,Haralson County,GA,", "
GA-145,"Harris County, GA",60.7,16,-2.7,63.4,Harris County,GA,", "
GA-147,"Hart County, GA",59.6,34,-1.4,61,Hart County,GA,", "
GA-149,"Heard County, GA",59.6,28,-2,61.6,Heard County,GA,", "
GA-151,"Henry County, GA",61,39,-1.3,62.3,Henry County,GA,", "
GA-153,"Houston County, GA",62.5,19,-2.3,64.8,Houston County,GA,", "
GA-155,"Irwin County, GA",63,14,-3.1,66.1,Irwin County,GA,", "
GA-157,"Jackson County, GA",59.6,33,-1.6,61.2,Jackson County,GA,", "
GA-159,"Jasper County, GA",61,38,-1.4,62.4,Jasper County,GA,", "
GA-161,"Jeff Davis County, GA",64.1,29,-2.2,66.3,Jeff Davis County,GA,", "
GA-163,"Jefferson County, GA",62.1,34,-1.7,63.8,Jefferson County,GA,", "
GA-165,"Jenkins County, GA",63,36,-1.5,64.5,Jenkins County,GA,", "
GA-167,"Johnson County, GA",62.8,31,-1.9,64.7,Johnson County,GA,", "
GA-169,"Jones County, GA",61.6,29,-1.9,63.5,Jones County,GA,", "
GA-171,"Lamar County, GA",61.1,28,-1.8,62.9,Lamar County,GA,", "
GA-173,"Lanier County, GA",64.4,17,-2.7,67.1,Lanier County,GA,", "
GA-175,"Laurens County, GA",63.1,24,-2.2,65.3,Laurens County,GA,", "
GA-177,"Lee County, GA",63.2,17,-2.9,66.1,Lee County,GA,", "
GA-179,"Liberty County, GA",66,32,-1.6,67.6,Liberty County,GA,", "
GA-181,"Lincoln County, GA",61.1,33,-1.6,62.7,Lincoln County,GA,", "
GA-183,"Long County, GA",65.8,32,-1.6,67.4,Long County,GA,", "
GA-185,"Lowndes County, GA",65.1,25,-2.3,67.4,Lowndes County,GA,", "
GA-187,"Lumpkin County, GA",56.2,28,-2,58.2,Lumpkin County,GA,", "
GA-189,"McDuffie County, GA",61.2,32,-1.7,62.9,McDuffie County,GA,", "
GA-191,"McIntosh County, GA",66.8,30,-1.8,68.6,McIntosh County,GA,", "
GA-193,"Macon County, GA",62.2,18,-2.5,64.7,Macon County,GA,", "
GA-195,"Madison County, GA",59.7,36,-1.4,61.1,Madison County,GA,", "
GA-197,"Marion County, GA",61.6,17,-2.8,64.4,Marion County,GA,", "
GA-199,"Meriwether County, GA",60.4,27,-2.1,62.5,Meriwether County,GA,", "
GA-201,"Miller County, GA",64.9,21,-2.5,67.4,Miller County,GA,", "
GA-205,"Mitchell County, GA",64.2,16,-3,67.2,Mitchell County,GA,", "
GA-207,"Monroe County, GA",61.4,30,-1.8,63.2,Monroe County,GA,", "
GA-209,"Montgomery County, GA",64,29,-2,66,Montgomery County,GA,", "
GA-211,"Morgan County, GA",60.6,36,-1.5,62.1,Morgan County,GA,", "
GA-213,"Murray County, GA",57.3,20,-2.6,59.9,Murray County,GA,", "
GA-215,"Muscogee County, GA",61.9,16,-2.9,64.8,Muscogee County,GA,", "
GA-217,"Newton County, GA",60.7,42,-1.2,61.9,Newton County,GA,", "
GA-219,"Oconee County, GA",60.3,36,-1.4,61.7,Oconee County,GA,", "
GA-221,"Oglethorpe County, GA",60.2,36,-1.4,61.6,Oglethorpe County,GA,", "
GA-223,"Paulding County, GA",58.5,28,-2,60.5,Paulding County,GA,", "
GA-225,"Peach County, GA",62.2,24,-2.1,64.3,Peach County,GA,", "
GA-227,"Pickens County, GA",57.3,28,-2.1,59.4,Pickens County,GA,", "
GA-229,"Pierce County, GA",65.7,35,-1.6,67.3,Pierce County,GA,", "
GA-231,"Pike County, GA",61,30,-1.8,62.8,Pike County,GA,", "
GA-233,"Polk County, GA",58.1,20,-2.5,60.6,Polk County,GA,", "
GA-235,"Pulaski County, GA",62.8,18,-2.6,65.4,Pulaski County,GA,", "
GA-237,"Putnam County, GA",61.1,30,-1.8,62.9,Putnam County,GA,", "
GA-239,"Quitman County, GA",63.3,22,-2.4,65.7,Quitman County,GA,", "
GA-241,"Rabun County, GA",53.6,8,-3.3,56.9,Rabun County,GA,", "
GA-243,"Randolph County, GA",63.2,19,-2.5,65.7,Randolph County,GA,", "
GA-245,"Richmond County, GA",62.3,32,-1.8,64.1,Richmond County,GA,", "
GA-247,"Rockdale County, GA",60.6,42,-1.1,61.7,Rockdale County,GA,", "
GA-249,"Schley County, GA",62,17,-2.7,64.7,Schley County,GA,", "
GA-251,"Screven County, GA",63.1,31,-1.8,64.9,Screven County,GA,", "
GA-253,"Seminole County, GA",65.4,20,-2.4,67.8,Seminole County,GA,", "
GA-255,"Spalding County, GA",61.2,35,-1.5,62.7,Spalding County,GA,", "
GA-257,"Stephens County, GA",58.5,16,-2.3,60.8,Stephens County,GA,", "
GA-259,"Stewart County, GA",62.3,19,-2.8,65.1,Stewart County,GA,", "
GA-261,"Sumter County, GA",62.6,19,-2.7,65.3,Sumter County,GA,", "
GA-263,"Talbot County, GA",61.1,18,-2.6,63.7,Talbot County,GA,", "
GA-265,"Taliaferro County, GA",60.7,30,-1.7,62.4,Taliaferro County,GA,", "
GA-267,"Tattnall County, GA",65,29,-1.8,66.8,Tattnall County,GA,", "
GA-269,"Taylor County, GA",61.7,18,-2.5,64.2,Taylor County,GA,", "
GA-271,"Telfair County, GA",63.5,21,-2.6,66.1,Telfair County,GA,", "
GA-273,"Terrell County, GA",63.1,17,-2.8,65.9,Terrell County,GA,", "
GA-275,"Thomas County, GA",65,19,-2.4,67.4,Thomas County,GA,", "
GA-277,"Tift County, GA",62.6,8,-3.7,66.3,Tift County,GA,", "
GA-279,"Toombs County, GA",64.5,32,-1.8,66.3,Toombs County,GA,", "
GA-281,"Towns County, GA",53.2,15,-2.8,56,Towns County,GA,", "
GA-283,"Treutlen County, GA",63.6,29,-2,65.6,Treutlen County,GA,", "
GA-285,"Troup County, GA",60,22,-2.4,62.4,Troup County,GA,", "
GA-287,"Turner County, GA",62.5,12,-3.2,65.7,Turner County,GA,", "
GA-289,"Twiggs County, GA",62.5,22,-2.2,64.7,Twiggs County,GA,", "
GA-291,"Union County, GA",53.9,23,-2.5,56.4,Union County,GA,", "
GA-293,"Upson County, GA",61.3,26,-2.1,63.4,Upson County,GA,", "
GA-295,"Walker County, GA",57,16,-3,60,Walker County,GA,", "
GA-297,"Walton County, GA",60.1,38,-1.3,61.4,Walton County,GA,", "
GA-299,"Ware County, GA",66,35,-1.5,67.5,Ware County,GA,", "
GA-301,"Warren County, GA",61,29,-1.8,62.8,Warren County,GA,", "
GA-303,"Washington County, GA",62.2,28,-2,64.2,Washington County,GA,", "
GA-305,"Wayne County, GA",65.7,34,-1.6,67.3,Wayne County,GA,", "
GA-307,"Webster County, GA",62.2,18,-2.8,65,Webster County,GA,", "
GA-309,"Wheeler County, GA",63.7,24,-2.3,66,Wheeler County,GA,", "
GA-311,"White County, GA",56,24,-2.2,58.2,White County,GA,", "
GA-313,"Whitfield County, GA",57.5,19,-2.7,60.2,Whitfield County,GA,", "
GA-315,"Wilcox County, GA",62.8,16,-2.8,65.6,Wilcox County,GA,", "
GA-317,"Wilkes County, GA",60.7,38,-1.4,62.1,Wilkes County,GA,", "
GA-319,"Wilkinson County, GA",62.5,24,-2.1,64.6,Wilkinson County,GA,", "
GA-321,"Worth County, GA",62.9,12,-3.3,66.2,Worth County,GA,", "
ID-001,"Ada County, ID",54.8,113,3,51.8,Ada County,ID,", "
ID-003,"Adams County, ID",49,123,4.5,44.5,Adams County,ID,", "
ID-005,"Bannock County, ID",48.9,113,3.3,45.6,Bannock County,ID,", "
ID-007,"Bear Lake County, ID",44.1,109,2.8,41.3,Bear Lake County,ID,", "
ID-009,"Benewah County, ID",52.1,128,6.7,45.4,Benewah County,ID,", "
ID-011,"Bingham County, ID",48.1,109,3,45.1,Bingham County,ID,", "
ID-013,"Blaine County, ID",47,115,3.7,43.3,Blaine County,ID,", "
ID-015,"Boise County, ID",48.5,119,3.8,44.7,Boise County,ID,", "
ID-017,"Bonner County, ID",49.4,128,6.4,43,Bonner County,ID,", "
ID-019,"Bonneville County, ID",45.8,111,2.9,42.9,Bonneville County,ID,", "
ID-021,"Boundary County, ID",47.3,128,6.6,40.7,Boundary County,ID,", "
ID-023,"Butte County, ID",45.8,113,3.1,42.7,Butte County,ID,", "
ID-025,"Camas County, ID",47.7,125,5.2,42.5,Camas County,ID,", "
ID-027,"Canyon County, ID",55.2,118,3.7,51.5,Canyon County,ID,", "
ID-029,"Caribou County, ID",45.4,105,2.7,42.7,Caribou County,ID,", "
ID-031,"Cassia County, ID",49.8,111,3.3,46.5,Cassia County,ID,", "
ID-033,"Clark County, ID",44.4,112,3.4,41,Clark County,ID,", "
ID-035,"Clearwater County, ID",49.8,126,5.8,44,Clearwater County,ID,", "
ID-037,"Custer County, ID",42.6,114,3.4,39.2,Custer County,ID,", "
ID-039,"Elmore County, ID",51.9,119,4.4,47.5,Elmore County,ID,", "
ID-041,"Franklin County, ID",48.2,116,3.5,44.7,Franklin County,ID,", "
ID-043,"Fremont County, ID",43.7,105,2.7,41,Fremont County,ID,", "
ID-045,"Gem County, ID",53.3,117,3.7,49.6,Gem County,ID,", "
ID-047,"Gooding County, ID",53.7,120,4.4,49.3,Gooding County,ID,", "
ID-049,"Idaho County, ID",46,122,3.8,42.2,Idaho County,ID,", "
ID-051,"Jefferson County, ID",47.8,118,3.7,44.1,Jefferson County,ID,", "
ID-053,"Jerome County, ID",51.7,111,3,48.7,Jerome County,ID,", "
ID-055,"Kootenai County, ID",52.6,128,7.4,45.2,Kootenai County,ID,", "
ID-057,"Latah County, ID",52.7,127,6.5,46.2,Latah County,ID,", "
ID-059,"Lemhi County, ID",44.2,122,4.4,39.8,Lemhi County,ID,", "
ID-061,"Lewis County, ID",51.4,124,5.2,46.2,Lewis County,ID,", "
ID-063,"Lincoln County, ID",50,112,3,47,Lincoln County,ID,", "
ID-065,"Madison County, ID",46.5,109,2.8,43.7,Madison County,ID,", "
ID-067,"Minidoka County, ID",49.5,109,2.8,46.7,Minidoka County,ID,", "
ID-069,"Nez Perce County, ID",54.6,126,5.7,48.9,Nez Perce County,ID,", "
ID-071,"Oneida County, ID",50.1,117,3.8,46.3,Oneida County,ID,", "
ID-073,"Owyhee County, ID",51.5,118,3.5,48,Owyhee County,ID,", "
ID-075,"Payette County, ID",54.9,122,4,50.9,Payette County,ID,", "
ID-077,"Power County, ID",48.9,109,2.7,46.2,Power County,ID,", "
ID-079,"Shoshone County, ID",49.4,128,6.6,42.8,Shoshone County,ID,", "
ID-081,"Teton County, ID",42.8,96,1.8,41,Teton County,ID,", "
ID-083,"Twin Falls County, ID",51.1,111,3.1,48,Twin Falls County,ID,", "
ID-085,"Valley County, ID",44.1,121,4,40.1,Valley County,ID,", "
ID-087,"Washington County, ID",54,125,5.5,48.5,Washington County,ID,", "
IL-001,"Adams County, IL",53.5,33,-2,55.5,Adams County,IL,", "
IL-003,"Alexander County, IL",57.6,42,-1.2,58.8,Alexander County,IL,", "
IL-005,"Bond County, IL",54.7,32,-1.9,56.6,Bond County,IL,", "
IL-007,"Boone County, IL",50.3,53,-0.7,51,Boone County,IL,", "
IL-009,"Brown County, IL",52.9,28,-2.3,55.2,Brown County,IL,", "
IL-011,"Bureau County, IL",51.4,47,-1.1,52.5,Bureau County,IL,", "
IL-013,"Calhoun County, IL",54.9,39,-1.6,56.5,Calhoun County,IL,", "
IL-015,"Carroll County, IL",50,46,-1,51,Carroll County,IL,", "
IL-017,"Cass County, IL",52.4,22,-2.8,55.2,Cass County,IL,", "
IL-019,"Champaign County, IL",52.9,45,-1.1,54,Champaign County,IL,", "
IL-021,"Christian County, IL",53.5,36,-1.8,55.3,Christian County,IL,", "
IL-023,"Clark County, IL",54.7,52,-0.6,55.3,Clark County,IL,", "
IL-025,"Clay County, IL",55.3,47,-1,56.3,Clay County,IL,", "
IL-027,"Clinton County, IL",55.5,38,-1.6,57.1,Clinton County,IL,", "
IL-029,"Coles County, IL",54.2,50,-0.8,55,Coles County,IL,", "
IL-031,"Cook County, IL",52.5,60,-0.1,52.6,Cook County,IL,", "
IL-033,"Crawford County, IL",55.6,55,-0.5,56.1,Crawford County,IL,", "
IL-035,"Cumberland County, IL",54.7,52,-0.8,55.5,Cumberland County,IL,", "
IL-037,"DeKalb County, IL",50.6,48,-0.9,51.5,DeKalb County,IL,", "
IL-039,"De Witt County, IL",52.9,45,-1,53.9,De Witt County,IL,", "
IL-041,"Douglas County, IL",53.5,45,-1,54.5,Douglas County,IL,", "
IL-043,"DuPage County, IL",52,57,-0.1,52.1,DuPage County,IL,", "
IL-045,"Edgar County, IL",53.5,42,-1.1,54.6,Edgar County,IL,", "
IL-047,"Edwards County, IL",56.6,53,-0.5,57.1,Edwards County,IL,", "
IL-049,"Effingham County, IL",54.6,42,-1.1,55.7,Effingham County,IL,", "
IL-051,"Fayette County, IL",54.5,38,-1.6,56.1,Fayette County,IL,", "
IL-053,"Ford County, IL",52.9,57,-0.4,53.3,Ford County,IL,", "
IL-055,"Franklin County, IL",55.4,29,-2,57.4,Franklin County,IL,", "
IL-057,"Fulton County, IL",52.9,40,-1.7,54.6,Fulton County,IL,", "
IL-059,"Gallatin County, IL",56.8,39,-1.4,58.2,Gallatin County,IL,", "
IL-061,"Greene County, IL",53.7,24,-2.6,56.3,Greene County,IL,", "
IL-063,"Grundy County, IL",52.3,55,-0.5,52.8,Grundy County,IL,", "
IL-065,"Hamilton County, IL",56.1,43,-1.3,57.4,Hamilton County,IL,", "
IL-067,"Hancock County, IL",52.5,27,-2.5,55,Hancock County,IL,", "
IL-069,"Hardin County, IL",57.1,39,-1.4,58.5,Hardin County,IL,", "
IL-071,"Henderson County, IL",52.2,38,-1.9,54.1,Henderson County,IL,", "
IL-073,"Henry County, IL",51.5,45,-1.3,52.8,Henry County,IL,", "
IL-075,"Iroquois County, IL",52.7,53,-0.4,53.1,Iroquois County,IL,", "
IL-077,"Jackson County, IL",55.3,28,-2.2,57.5,Jackson County,IL,", "
IL-079,"Jasper County, IL",55.2,50,-0.8,56,Jasper County,IL,", "
IL-081,"Jefferson County, IL",55.5,35,-1.7,57.2,Jefferson County,IL,", "
IL-083,"Jersey County, IL",54.8,31,-2,56.8,Jersey County,IL,", "
IL-085,"Jo Daviess County, IL",49.6,48,-1,50.6,Jo Daviess County,IL,", "
IL-087,"Johnson County, IL",56.8,37,-1.3,58.1,Johnson County,IL,", "
IL-089,"Kane County, IL",51.1,53,-0.5,51.6,Kane County,IL,", "
IL-091,"Kankakee County, IL",52.4,53,-0.3,52.7,Kankakee County,IL,", "
IL-093,"Kendall County, IL",51.8,52,-0.7,52.5,Kendall County,IL,", "
IL-095,"Knox County, IL",51.8,42,-1.5,53.3,Knox County,IL,", "
IL-097,"Lake County, IL",51.2,59,-0.5,51.7,Lake County,IL,", "
IL-099,"LaSalle County, IL",51.5,49,-1.1,52.6,LaSalle County,IL,", "
IL-101,"Lawrence County, IL",56.5,58,-0.2,56.7,Lawrence County,IL,", "
IL-103,"Lee County, IL",50.8,50,-0.9,51.7,Lee County,IL,", "
IL-105,"Livingston County, IL",52.9,59,-0.1,53,Livingston County,IL,", "
IL-107,"Logan County, IL",53,36,-1.6,54.6,Logan County,IL,", "
IL-109,"McDonough County, IL",52.1,30,-2.3,54.4,McDonough County,IL,", "
IL-111,"McHenry County, IL",50.4,55,-0.6,51,McHenry County,IL,", "
IL-113,"McLean County, IL",52.8,52,-0.4,53.2,McLean County,IL,", "
IL-115,"Macon County, IL",53.4,39,-1.3,54.7,Macon County,IL,", "
IL-117,"Macoupin County, IL",53.6,26,-2.4,56,Macoupin County,IL,", "
IL-119,"Madison County, IL",55.2,32,-2.1,57.3,Madison County,IL,", "
IL-121,"Marion County, IL",55.1,40,-1.5,56.6,Marion County,IL,", "
IL-123,"Marshall County, IL",52.5,51,-0.8,53.3,Marshall County,IL,", "
IL-125,"Mason County, IL",53,30,-2.1,55.1,Mason County,IL,", "
IL-127,"Massac County, IL",58,48,-0.8,58.8,Massac County,IL,", "
IL-129,"Menard County, IL",52.4,22,-2.7,55.1,Menard County,IL,", "
IL-131,"Mercer County, IL",52,46,-1.4,53.4,Mercer County,IL,", "
IL-133,"Monroe County, IL",56.4,38,-1.3,57.7,Monroe County,IL,", "
IL-135,"Montgomery County, IL",53.7,28,-2.1,55.8,Montgomery County,IL,", "
IL-137,"Morgan County, IL",52.5,24,-2.7,55.2,Morgan County,IL,", "
IL-139,"Moultrie County, IL",53.6,42,-1.3,54.9,Moultrie County,IL,", "
IL-141,"Ogle County, IL",50.4,48,-0.8,51.2,Ogle County,IL,", "
IL-143,"Peoria County, IL",53.1,48,-0.7,53.8,Peoria County,IL,", "
IL-145,"Perry County, IL",55.2,29,-2.1,57.3,Perry County,IL,", "
IL-147,"Piatt County, IL",53.1,44,-1.1,54.2,Piatt County,IL,", "
IL-149,"Pike County, IL",53.8,35,-2,55.8,Pike County,IL,", "
IL-151,"Pope County, IL",57.2,40,-1.2,58.4,Pope County,IL,", "
IL-153,"Pulaski County, IL",57.6,38,-1.3,58.9,Pulaski County,IL,", "
IL-155,"Putnam County, IL",52.1,48,-1.2,53.3,Putnam County,IL,", "
IL-157,"Randolph County, IL",55.4,31,-2,57.4,Randolph County,IL,", "
IL-159,"Richland County, IL",55.8,50,-0.8,56.6,Richland County,IL,", "
IL-161,"Rock Island County, IL",52,48,-1,53,Rock Island County,IL,", "
IL-163,"St. Clair County, IL",55.9,35,-1.8,57.7,St. Clair County,IL,", "
IL-165,"Saline County, IL",56.4,38,-1.5,57.9,Saline County,IL,", "
IL-167,"Sangamon County, IL",52.7,25,-2.5,55.2,Sangamon County,IL,", "
IL-169,"Schuyler County, IL",52.5,27,-2.4,54.9,Schuyler County,IL,", "
IL-171,"Scott County, IL",52.9,24,-2.8,55.7,Scott County,IL,", "
IL-173,"Shelby County, IL",53.9,37,-1.5,55.4,Shelby County,IL,", "
IL-175,"Stark County, IL",51.7,46,-1.3,53,Stark County,IL,", "
IL-177,"Stephenson County, IL",49.7,51,-0.7,50.4,Stephenson County,IL,", "
IL-179,"Tazewell County, IL",53.4,51,-0.6,54,Tazewell County,IL,", "
IL-181,"Union County, IL",56.3,34,-1.6,57.9,Union County,IL,", "
IL-183,"Vermilion County, IL",52.7,40,-1.3,54,Vermilion County,IL,", "
IL-185,"Wabash County, IL",56.8,55,-0.4,57.2,Wabash County,IL,", "
IL-187,"Warren County, IL",51.7,39,-1.7,53.4,Warren County,IL,", "
IL-189,"Washington County, IL",55.5,36,-1.7,57.2,Washington County,IL,", "
IL-191,"Wayne County, IL",56,47,-0.9,56.9,Wayne County,IL,", "
IL-193,"White County, IL",56.6,44,-1.1,57.7,White County,IL,", "
IL-195,"Whiteside County, IL",51,46,-1.1,52.1,Whiteside County,IL,", "
IL-197,"Will County, IL",52.2,52,-0.6,52.8,Will County,IL,", "
IL-199,"Williamson County, IL",55.6,30,-2,57.6,Williamson County,IL,", "
IL-201,"Winnebago County, IL",50.4,51,-0.7,51.1,Winnebago County,IL,", "
IL-203,"Woodford County, IL",52.8,53,-0.3,53.1,Woodford County,IL,", "
